"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TMS E2E Flow","1","Flujo Completo Atómico","4","0","Crear → Asignar → Finalizar Viaje","0"
"0","TMS Legacy Flow","0","03-Viajes","3","0","Asignar Viaje","0"
"0","TMS Legacy Flow","0","01-Entidades","4","0","Crear Cliente","0"
"0","","0","","1","0","","0"
"0","TMS Legacy Flow","0","01-Entidades","4","0","Crear Vehículo","0"
"0","TMS Legacy Flow","0","03-Viajes","3","0","Planificar Viaje","0"
"0","TMS Legacy Flow","0","02-Contratos","4","0","Contrato Tipo Costo","0"
"0","TMS Legacy Flow","0","01-Entidades","4","0","Crear Transportista","0"
"0","TMS Legacy Flow","0","01-Entidades","4","0","Crear Conductor","0"
"0","TMS Legacy Flow","0","02-Contratos","4","0","Contrato Tipo Venta","0"
"0","TMS Legacy Flow","0","03-Viajes","3","0","Finalizar Viaje","0"
